Category,ID,Latitude,Longitude,Date,DAYMET_Tile,DAYMET_003_prcp
endingPoint,02,42.7092,-71.6966,2017-11-24,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-25,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-26,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-27,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-28,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-29,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-11-30,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-01,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-12-02,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-03,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-04,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-05,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-06,11935,15.0
endingPoint,02,42.7092,-71.6966,2017-12-07,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-08,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-09,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-10,11935,13.0
endingPoint,02,42.7092,-71.6966,2017-12-11,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-12,11935,2.0
endingPoint,02,42.7092,-71.6966,2017-12-13,11935,12.0
endingPoint,02,42.7092,-71.6966,2017-12-14,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-15,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-16,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-17,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-18,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-19,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-20,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-21,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-22,11935,1.0
endingPoint,02,42.7092,-71.6966,2017-12-23,11935,10.0
endingPoint,02,42.7092,-71.6966,2017-12-24,11935,15.0
endingPoint,02,42.7092,-71.6966,2017-12-25,11935,7.0
endingPoint,02,42.7092,-71.6966,2017-12-26,11935,6.0
endingPoint,02,42.7092,-71.6966,2017-12-27,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-28,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-29,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-30,11935,0.0
endingPoint,02,42.7092,-71.6966,2017-12-31,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-01,11935,4.0
startingPoint,01,42.7092,-71.9466,2017-01-02,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-03,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-04,11935,18.0
startingPoint,01,42.7092,-71.9466,2017-01-05,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-06,11935,1.0
startingPoint,01,42.7092,-71.9466,2017-01-07,11935,1.0
startingPoint,01,42.7092,-71.9466,2017-01-08,11935,4.0
startingPoint,01,42.7092,-71.9466,2017-01-09,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-10,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-11,11935,5.0
startingPoint,01,42.7092,-71.9466,2017-01-12,11935,3.0
startingPoint,01,42.7092,-71.9466,2017-01-13,11935,4.0
startingPoint,01,42.7092,-71.9466,2017-01-14,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-15,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-16,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-17,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-18,11935,13.0
startingPoint,01,42.7092,-71.9466,2017-01-19,11935,4.0
startingPoint,01,42.7092,-71.9466,2017-01-20,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-21,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-22,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-23,11935,5.0
startingPoint,01,42.7092,-71.9466,2017-01-24,11935,18.0
startingPoint,01,42.7092,-71.9466,2017-01-25,11935,8.0
startingPoint,01,42.7092,-71.9466,2017-01-26,11935,2.0
startingPoint,01,42.7092,-71.9466,2017-01-27,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-28,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-29,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-30,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-01-31,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-01,11935,2.0
startingPoint,01,42.7092,-71.9466,2017-02-02,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-03,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-04,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-05,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-06,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-07,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-08,11935,13.0
startingPoint,01,42.7092,-71.9466,2017-02-09,11935,5.0
startingPoint,01,42.7092,-71.9466,2017-02-10,11935,21.0
startingPoint,01,42.7092,-71.9466,2017-02-11,11935,4.0
startingPoint,01,42.7092,-71.9466,2017-02-12,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-13,11935,20.0
startingPoint,01,42.7092,-71.9466,2017-02-14,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-15,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-16,11935,3.0
startingPoint,01,42.7092,-71.9466,2017-02-17,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-18,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-19,11935,0.0
startingPoint,01,42.7092,-71.9466,2017-02-20,11935,0.0
